dep_id,url,mrds_id,mas_id,site_name,latitude,longitude,region,country,state,county,com_type,commod1,commod2,commod3,oper_type,dep_type,prod_size,dev_stat,ore,gangue,other_matl,orebody_fm,work_type,model,alteration,conc_proc,names,ore_ctrl,reporter,hrock_unit,hrock_type,arock_unit,arock_type,structure,tectonic,ref,yfp_ba,yr_fst_prd,ylp_ba,yr_lst_prd,dy_ba,disc_yr,prod_yrs,discr,score
10206945,"https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10206945",,5330371004,"(Facility) Idc Jaipur Road Smelter",20.74956,86.26688,AS,India,Orissa,,M,"Chromium, Ferrochrome",,,"Processing Plant",,,Plant,,,,,,,,,,,"Boyle, Ed",,,,,,,,,,,,,,,,E
10206953,"https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10206953",,5330171028,Keralacochin,9.9339,76.25042,AS,India,Kerala,,M,Zinc,,,"Processing Plant",,,Plant,,,,,,,,,Cochin,,Hunter,,,,,,,"CRU ZINC MONITOR-SEPTEMBER 1996",,,,,,,,,D
10206965,"https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10206965",,5330370040,Jhargaon,22.07944,85.3602,AS,India,Orissa,,M,,,Iron,Unknown,,,Prospect,,,Hematite,,,,,,,,"West, B.J.",,,,,,,"UNITED NATIONS, SURVEY OF WORLD IRON ORE RESOURCES, 1970, NEDEPT. OF ECONOMIC AND SOCIAL AFFAIRS, P.114,151.",,,,,,,,,D
10206979,"https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10206979",,5330370076,Kesijoda,21.79947,85.3602,AS,India,Orissa,,M,,,Iron,Unknown,,,Prospect,,,Hematite,,,,,,,,Unknown,,,,,,,"U.N., SURV. WORLD IRON ORE RES., 1970, N.Y., DEPT. ECON. & SFFAIRS, P. 114, 154",,,,,,,,,D
10207002,"https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10207002",,5330370097,Kansa,20.82955,86.33018,AS,India,Orissa,,B,,,"Chromium, Iron, Manganese, Phosphorus-Phosphates, Sulfur",Unknown,,,Prospect,,,Hematite,,,,,,,,"West, B.J.",,,,,,,"U.N., SURV. WORLD IRON ORE RES., 1970, N.Y., DEPT. ECON. & SFFAIRS, P. 111, 164",,,,,,,,,D
10207009,"https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10207009",,5330150014,Gund,34.24854,75.10053,AS,India,"Jammu and Kashmir",,M,,,Copper,Unknown,,,Prospect,,,"Chalcopyrite, Malachite, Quartz",,,,,,,,"West, B.J.",,,,,,,"DUNN J A 1965 BULL GSI SERIES A-ECON GEOL NO 23-COPPER P 103",,,,,,,,,D
10207021,"https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10207021",,5330210121,Karamsara,22.00945,80.70033,AS,India,"Madhya Pradesh",,M,,,Copper,Unknown,,,Prospect,,,"Bornite, Chalcopyrite, Cuprite, Malachite, Pyrite",,,,,,,,"West, B.J.",,,,,,,"DUNN J A 1965 BULL GSI SERIES A-ECON GEOL NO 23-COPPER P 107",,,,,,,,,D
10207070,"https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10207070",,5330370181,"Bhimtanagar Leaseno.14c1",21.02763,85.76599,AS,India,Orissa,,M,Chromium,,,Surface,,,Prospect,,,,,,,,,,,Unknown,,,,,,,,,,,,,,,,E
10207091,"https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10207091",,5330370073,"South of Mitihurda",21.80946,85.3602,AS,India,Orissa,,M,,,Iron,Unknown,,,Prospect,,,Hematite,,,,,,,,"West, B.J.",,,,,,,"UNITED NATIONS, SURVEY OF WORLD IRON ORE RESOURCES, 1970, NEDEPT. OF ECONOMIC AND SOCIAL AFFAIRS, P.114-153",,,,,,,,,D
10207092,"https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10207092",,5330430020,Shevroy,11.76712,78.18367,AS,India,,,M,Aluminum,,,Surface,,,Producer,,,Bauxite,,Surface,,,,"Tamil Nadu, Shevaroy Hills -Madras State",,"Wilburn, David R.",,,,,,,"UNITED NATIONS, ECONOMIC COMMISSION FOR ASIA AND THE FAREAST.BAUXITE ORE RESOURCES AND ALUMINUM INDUSTRY OF ASIA AND THEFAR EAST.MINERAL DEVELOPMENT SERIES # 17, P. 8, 1962.",,1971,,,,,,,C
10207094,"https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10207094",,5330370102,Kusumbani,22.05944,86.70017,AS,India,Orissa,,M,,,Copper,Unknown,,,Occurrence,,,,,,,,,,,"West, B.J.",,,,,,,"DUNN J A 1965 BULL GSI SERIES A-ECON GEOL NO 23-COPPER P 125",,,,,,,,,D
10207097,"https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10207097",,5330370201,"Saruabil No.6",21.05873,85.82239,AS,India,Orissa,,M,Chromium,,,Surface,,,Prospect,,,,,,,,,,,Unknown,,,,,,,,,,,,,,,,E
10207105,"https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10207105",,5330430019,"Area South of Godumalai",11.61043,78.33037,AS,India,,,M,,,Iron,Unknown,,,Prospect,,,,,,,,,,,"West, B.J.",,,,,,,"KRISHNAN M S 1953 THE IRON ORE DEPOSITS OF PARTS OF SALEM ANINOPOLY DISTRICTS BULL OF GSI SERIES A-ECON GEOL NO 8 P 28-3",,,,,,,,,D
10207106,"https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10207106",,5330230009,"Satak Mine and Satak Extension Mi",21.34951,79.26036,AS,India,Maharashtra,,B,,,"Iron, Manganese, Phosphorus-Phosphates, Silica",Surface-Underground,,,"Past Producer",,,"Rhodonite, Spessartite",,,,,,Nes,,"West, B.J.",,,,,,,"CHAKRAVARTY, S.C 1973 THE GEOLOGYAND MANGANESE-ORE DEPOSITSRI-MANSAR AREA, NE PART OF NAGPURDISTRICT MAHARASHTRA, PT 3,ERIES A- ECON GEOL, BULL OF GSI P9-16",,1901,,,,,,,C
10207112,"https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10207112",,5330410011,Baldeogarh,27.12904,76.38046,AS,India,Rajasthan,,M,,,Copper,Unknown,,,Prospect,,,Malachite,,,,,,,,"West, B.J.",,,,,,,"DUNN J A 1965 BULL GSI SERIES A-ECON GEOL NO 23-COPPER P 132",,,,,,,,,D
10207121,"https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10207121",,5330370048,"Bara Parbat-Joda East Mine",22.04944,85.4502,AS,India,Orissa,,M,,,Iron,Unknown,,,Producer,,,Hematite,,,,,,,,"West, B.J.",,,,,,,"UNITED NATIONS, SURVEY OF WORLD IRON ORE RESOURCES, 1970, NEDEPT. OF ECONOMIC AND SOCIAL AFFAIRS, P.114,152.",,,,,,,,,D
10207124,"https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10207124",,5330430004,Perumamalai,11.83041,78.23037,AS,India,,,B,,,"Iron, Phosphorus-Phosphates, Sulfur",Unknown,,,Prospect,,,Magnetite,,,,,,,,"West, B.J.",,,,,,,"U.N., SURV. WORLD IRON ORE RES., 1970, N.Y., DEPT. ECON. & SFFAIRS, P. 111, 158",,,,,,,,,D
10207158,"https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10207158",,5330070127,Thakurdih,22.29942,86.68017,AS,India,Bihar,,M,,,Copper,Unknown,,,"Past Producer",,,"Biotite, Hornblende, Muscovite, Quartz",,,,,,,,"West, B.J.",,,,,,,"DUNN J A 1965 BULL GSI SERIES A-ECON GEOL NO 23-COPPER P 89",,,,,,,,,D
